college,course,quota,category,min_rank,cutoff_rank
"CALCUTTA NATIONAL MEDICAL COLLEGE,CALCUTTA NATIONAL MEDICAL COLLEGE 32, Gorachand Road, Kolkata 700014, West Bengal, 700014",M.S. (OPHTHALMOLOGY),AI,General,12290,12570
"CALCUTTA NATIONAL MEDICAL COLLEGE,CALCUTTA NATIONAL MEDICAL COLLEGE 32, Gorachand Road, Kolkata 700014, West Bengal, 700014",M.S. (OPHTHALMOLOGY),AI,OBC,26298,26298
"CALCUTTA NATIONAL MEDICAL COLLEGE,CALCUTTA NATIONAL MEDICAL COLLEGE 32, Gorachand Road, Kolkata 700014, West Bengal, 700014",M.S. (OPHTHALMOLOGY),AI,SC,33523,33523
"CALCUTTA NATIONAL MEDICAL COLLEGE,CALCUTTA NATIONAL MEDICAL COLLEGE 32, Gorachand Road, Kolkata 700014, West Bengal, 700014",M.S. (ORTHOPAEDICS),AI,EWS,16925,16925
"CALCUTTA NATIONAL MEDICAL COLLEGE,CALCUTTA NATIONAL MEDICAL COLLEGE 32, Gorachand Road, Kolkata 700014, West Bengal, 700014",M.S. (ORTHOPAEDICS),AI,GNYes,193126,193126
"CALCUTTA NATIONAL MEDICAL COLLEGE,CALCUTTA NATIONAL MEDICAL COLLEGE 32, Gorachand Road, Kolkata 700014, West Bengal, 700014",M.S. (ORTHOPAEDICS),AI,General,5298,5298
"CALCUTTA NATIONAL MEDICAL COLLEGE,CALCUTTA NATIONAL MEDICAL COLLEGE 32, Gorachand Road, Kolkata 700014, West Bengal, 700014",M.S. (ORTHOPAEDICS),AI,OBC,13048,13048
"CC Shroff Memorial Hospital (a unit of Nandini Ramesh Gandhi Public Charitable Trust),Telangana",(NBEMS) GENERAL MEDICINE,AD,General,9678,9678
"CC Shroff Memorial Hospital (a unit of Nandini Ramesh Gandhi Public Charitable Trust),Telangana",(NBEMS) Obstetrics and Gynaecology,AD,General,14449,14449
"CC Shroff Memorial Hospital (a unit of Nandini Ramesh Gandhi Public Charitable Trust),Telangana",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,AD,OBC,41394,41778
"CC Shroff Memorial Hospital (a unit of Nandini Ramesh Gandhi Public Charitable Trust),Telangana,ccshroffhospi tal@gmail.com, Telangana, 500027",(NBEMS) GENERAL MEDICINE,AD,EWS,9946,9946
"CC Shroff Memorial Hospital (a unit of Nandini Ramesh Gandhi Public Charitable Trust),Telangana,ccshroffhospi tal@gmail.com, Telangana, 500027",(NBEMS-DIPLOMA) ANAESTHESIOLOGY,AD,EWS,31042,31042
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (ANAESTHESIOLOGY ),AI,General,12254,14693
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (ANAESTHESIOLOGY ),AI,OBC,14318,15159
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (ANAESTHESIOLOGY ),AI,SC,29830,29830
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (BIOCHEMISTRY),AI,OBC,48476,48476
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",AI,EWS,5383,5383
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",AI,OBC,2436,2436
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),AI,General,10674,10674
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (GENERAL MEDICINE),AI,OBC,1961,2217
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (GENERAL MEDICINE),AI,OBC PwD,110684,110684
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (GENERAL MEDICINE),AI,SC,14522,17838
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (GENERAL MEDICINE),AI,ST,31961,35708
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (MICROBIOLOGY),AI,ST,122638,122638
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,OBC,5949,5949
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (PAEDIATRICS),AI,OBC,5144,5144
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (PHARMACOLOGY),AI,OBC,38261,45305
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (PHYSIOLOGY),AI,SC,62629,62629
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,AI,ST,91224,91224
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (Radiotherapy/ Radiation Oncology),AI,EWS,29059,29059
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (Radiotherapy/ Radiation Oncology),AI,OBC,14332,14332
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),AI,OBC,6534,6534
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.S. (E.N.T.),AI,OBC,15625,15625
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.S. (GENERAL SURGERY),AI,General,2883,8214
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.S. (GENERAL SURGERY),AI,OBC,8715,8715
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.S. (GENERAL SURGERY),AI,SC,25493,25493
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.S. (OPHTHALMOLOGY),AI,OBC,12480,12480
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.S. (ORTHOPAEDICS),AI,General,9177,9383
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU",M.S. (ORTHOPAEDICS),AI,SC,28928,32927
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (ANAESTHESIOLOGY ),AI,General,17340,17340
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (ANAESTHESIOLOGY ),AI,OBC,16079,18438
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (BIOCHEMISTRY),AI,OBC,48166,48166
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",AI,OBC,2780,2780
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),AI,OBC,13937,14033
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (FORENSIC MEDICINE),AI,SC,97789,97789
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (GENERAL MEDICINE),AI,OBC,2973,2978
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (GENERAL MEDICINE),AI,SC,19462,19462
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (MICROBIOLOGY),AI,ST,153790,153790
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,EWS,13123,13123
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,General,8015,8015
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,OBC,8298,8298
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (PAEDIATRICS),AI,OBC,5446,6692
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (PATHOLOGY),AI,OBC,30538,30538
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (PHYSIOLOGY),AI,SC,107086,107086
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,AI,ST,107748,107748
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (PSYCHIATRY),AI,OBC,17648,17648
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (Radiotherapy/ Radiation Oncology),AI,EWS,32669,32669
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),AI,OBC,7529,7529
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.S. (E.N.T.),AI,OBC,17390,17390
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.S. (GENERAL SURGERY),AI,EWS,18830,18830
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.S. (GENERAL SURGERY),AI,General,9128,9128
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.S. (GENERAL SURGERY),AI,OBC,10439,12165
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.S. (OPHTHALMOLOGY),AI,OBC,19184,19184
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.S. (ORTHOPAEDICS),AI,General,13238,13520
"CHENGALPATTU MEDICAL COLLEGE, CHENGALPATTU,CHENGAL PATTU MEDICAL COLLEGE, CHENGALPATTU, Tamil Nadu, 603001",M.S. (ORTHOPAEDICS),AI,SC,33223,33223
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (FORENSIC MEDICINE),AI,General,59344,84179
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (GENERAL MEDICINE),AI,General,2930,2930
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (MICROBIOLOGY),AI,OBC,77703,77703
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,General,7559,7559
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (PATHOLOGY),AI,General,32457,32457
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (PATHOLOGY),AI,OBC,36507,36507
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (PATHOLOGY),AI,SC,37257,60398
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.D. (PHARMACOLOGY),AI,ST,117384,117384
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.S. (GENERAL SURGERY),AI,General,7697,7697
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.S. (GENERAL SURGERY),AI,SC,33040,33040
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.S. (GENERAL SURGERY),AI,ST,52309,52309
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.S. (ORTHOPAEDICS),AI,EWS,12895,12895
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,M.S. (ORTHOPAEDICS),AI,SC,28725,28725
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (ANAESTHESIOLOGY ),AI,EWS,29137,29137
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (ANAESTHESIOLOGY ),AI,OBC,24303,24303
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (BIOCHEMISTRY),AI,General,113910,117707
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",AI,OBC,5437,5437
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (GENERAL MEDICINE),AI,EWS,5240,5240
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (GENERAL MEDICINE),AI,General,3820,3820
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (GENERAL MEDICINE),AI,OBC,5829,5910
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PAEDIATRICS),AI,General,7472,7472
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PAEDIATRICS),AI,OBC,10930,10930
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PATHOLOGY),AI,General,40172,40551
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PATHOLOGY),AI,OBC,45464,45464
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PATHOLOGY),AI,SC,68536,68536
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PHARMACOLOGY),AI,EWS,183643,183643
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PHARMACOLOGY),AI,ST,171352,171352
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,AI,OBC,78591,78591
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.D. (PSYCHIATRY),AI,General,15996,15996
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (E.N.T.),AI,SC,44787,44787
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (GENERAL SURGERY),AI,General,10982,10982
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (GENERAL SURGERY),AI,SC,36446,36446
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (GENERAL SURGERY),AI,ST,67829,67829
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (OPHTHALMOLOGY),AI,General,17443,17640
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (ORTHOPAEDICS),AI,EWS,14537,14537
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (ORTHOPAEDICS),AI,OBC,14219,14219
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",M.S. (ORTHOPAEDICS),AI,SC,36546,36546
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, Chhattisgarh, 495001",MD/MS (Anatomy),AI,General,136391,136611
CHITTARANJAN NATIONAL CANCER INSTITUTE DNB,(NBEMS) PATHOLOGY,AD,EWS,54566,57953
CHITTARANJAN NATIONAL CANCER INSTITUTE DNB,(NBEMS) PATHOLOGY,AD,SC,62580,62580
"CHITTARANJAN NATIONAL CANCER INSTITUTE DNB,37, S. P. Mukherjee Road, Kolkata, West Bengal, 700026",(NBEMS) PATHOLOGY,AD,EWS,64388,64388
"CHITTARANJAN NATIONAL CANCER INSTITUTE DNB,37, S. P. Mukherjee Road, Kolkata, West Bengal, 700026",(NBEMS) PATHOLOGY,AD,SC,72298,72298
"CHL Hospital,",(NBEMS-DIPLOMA) RADIO-DIAGNOSIS,AD,General,7639,7639
"CHL Hospital,L.I.G. SQUARE A.B. ROAD, INDORE, Madhya Pradesh, 452008",(NBEMS) ANAESTHESIOLOGY,AD,General,28314,28314
"CHL Hospital,L.I.G. SQUARE A.B. ROAD, INDORE, Madhya Pradesh, 452008",(NBEMS) RADIO- DIAGNOSIS,AD,General,2877,2877
"CITY HOSPITAL, Moglaha,",(NBEMS) GENERAL MEDICINE,AD,General,9307,9307
"CITY HOSPITAL, Moglaha,City Super Speciality Hospital Pvt. Ltd., Moglaha, Medical College Road, Gorakhpur, Uttar Pradesh 27, Uttar Pradesh, 273013",(NBEMS) GENERAL MEDICINE,AD,EWS,9496,9496
"CIVIL HOSPITAL, Punjab",(NBEMS-DIPLOMA) Obstetrics and Gynaecology,AD,General,28282,28282
"CKS HOSPITAL (A UNIT OF CKS MEDICARE PRIVATE LIMITED),Rajasthan",(NBEMS) ANAESTHESIOLOGY,AD,EWS,26862,26862
"CKS HOSPITAL (A UNIT OF CKS MEDICARE PRIVATE LIMITED),Rajasthan,F98 A ROAD NUMBER 6 SIKAR ROAD VKI JAIPUR, Rajasthan, 302013",(NBEMS) ANAESTHESIOLOGY,AD,General,29827,29994
CMC Hospital,(NBEMS) GENERAL MEDICINE,AD,General,5809,8060
"CMC Hospital,DABRA CHOWK, DELHI ROAD, HISAR, Haryana, 125001",(NBEMS) GENERAL MEDICINE,AD,EWS,8897,8897
COIMBATORE MEDICAL COLLEGE,M.D. (ANAESTHESIOLOGY ),AI,OBC,11178,11178
COIMBATORE MEDICAL COLLEGE,M.D. (BIOCHEMISTRY),AI,OBC,51996,51996
COIMBATORE MEDICAL COLLEGE,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",AI,General,2200,2200
COIMBATORE MEDICAL COLLEGE,M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),AI,SC,30200,30200
COIMBATORE MEDICAL COLLEGE,M.D. (FORENSIC MEDICINE),AI,ST,118848,125529
COIMBATORE MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),AI,EWS,4071,4071
COIMBATORE MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),AI,General,1469,1855
COIMBATORE MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),AI,OBC,1388,2122
COIMBATORE MEDICAL COLLEGE,M.D. (GENERAL MEDICINE),AI,SC,9399,9399
COIMBATORE MEDICAL COLLEGE,M.D. (MICROBIOLOGY),AI,OBC,33912,33912
COIMBATORE MEDICAL COLLEGE,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,OBC,4817,8980
COIMBATORE MEDICAL COLLEGE,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,SC,21916,21916
COIMBATORE MEDICAL COLLEGE,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,ST,37541,37541
COIMBATORE MEDICAL COLLEGE,M.D. (PAEDIATRICS),AI,General,3137,4573
COIMBATORE MEDICAL COLLEGE,M.D. (PATHOLOGY),AI,OBC,14455,22915
COIMBATORE MEDICAL COLLEGE,M.D. (PATHOLOGY),AI,SC,47923,47923
COIMBATORE MEDICAL COLLEGE,M.D. (PHYSIOLOGY),AI,General,49536,49536
COIMBATORE MEDICAL COLLEGE,M.D. (PHYSIOLOGY),AI,OBC,41359,41359
COIMBATORE MEDICAL COLLEGE,M.D. (PSYCHIATRY),AI,General,10255,10255
COIMBATORE MEDICAL COLLEGE,M.D. (PSYCHIATRY),AI,OBC,16836,16836
COIMBATORE MEDICAL COLLEGE,M.D. (RADIO- DIAGNOSIS),AI,SC,8560,8560
COIMBATORE MEDICAL COLLEGE,M.S. (E.N.T.),AI,OBC,11957,11957
COIMBATORE MEDICAL COLLEGE,M.S. (GENERAL SURGERY),AI,OBC,1118,2748
COIMBATORE MEDICAL COLLEGE,M.S. (GENERAL SURGERY),AI,SC,28235,28235
COIMBATORE MEDICAL COLLEGE,M.S. (OPHTHALMOLOGY),AI,General,8021,12679
COIMBATORE MEDICAL COLLEGE,M.S. (ORTHOPAEDICS),AI,General,8424,12102
COIMBATORE MEDICAL COLLEGE,M.S. (ORTHOPAEDICS),AI,OBC,11516,12210
COIMBATORE MEDICAL COLLEGE,M.S. (ORTHOPAEDICS),AI,SC,33126,33126
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (ANAESTHESIOLOGY ),AI,EWS,24149,24149
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (ANAESTHESIOLOGY ),AI,OBC,18558,18597
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (ANAESTHESIOLOGY ),AI,SC,42522,42522
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (FORENSIC MEDICINE),AI,ST,119595,119595
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (GENERAL MEDICINE),AI,EWS,5976,5976
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (GENERAL MEDICINE),AI,General,1875,2234
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (MICROBIOLOGY),AI,EWS,116431,116431
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,OBC,9002,10469
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,ST,54436,54436
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (PAEDIATRICS),AI,EWS,9935,9935
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (PAEDIATRICS),AI,OBC,5514,5864
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (PATHOLOGY),AI,SC,52352,52352
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (PHARMACOLOGY),AI,ST,189418,189418
"COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE-14, Tamil Nadu, 641014",M.D. (PHYSIOLOGY),AI,OBC,38976,38976
